cancion_id;album_id;nombre;duracion
1;1;Muchacha;0:03:05
2;1;Color Humano;0:09:10
3;1;Figuración;0:03:30
4;1;Ana no duerme ;0:02:43
5;1;Fermín;0:03:17
6;1;Plegarias para un Niño Dormido;0:04:02
7;1;A Estos Hombres Tristes;0:05:57
8;1;Que el Viento Borró Tus Manos;0:02:35
9;1;Laura Va;0:02:48
10;2;Toma el Tren Hacia el Sur ;0:03:43
11;2;Jingle;0:01:27
12;2;No Tengo Idea;0:02:47
13;2;Camino Dificil;0:02:28
14;2;Rutas Argentinas;0:02:38
15;2;Vete de Mí Cuervo Negro;0:01:10
16;2;Aire de Amor;0:02:58
17;2;Mestizo;0:02:26
18;2;Agnus Dei;0:14:25
19;2;Para Ir;0:03:58
20;2;Parvas ;0:05:12
21;2;Cometa Azul;0:04:24
22;2;Florecen los Nardos;0:06:48
23;2;Carmen ;0:03:03
24;2;Obertura;0:03:03
25;2;Amor de Aire;0:02:37
26;2;Verde Llano ;0:01:35
27;2;Leves Instrucciones ;0:01:30
28;2;Los Elefantes;0:06:22
29;2;Un Pájaro Te sostiene;0:02:24
30;2;En las Cúpulas;0:04:41
31;3;Las Cosas para Hacer;0:06:37
32;3;Amidama;0:03:25
33;3;Miguelito, Mi Espiritiu Ha Partido a Tiempo;0:08:43
34;3;Espejada ;0:02:03
35;3;Cielo Fuerte;0:04:41
36;3;El Fantasma de la Buena Suerte ;0:06:47
37;3;Buen Día, Día de Sol;0:04:42
38;4;Blues de Cris;0:03:29
39;4;El Jardinero;0:09:04
40;4;Dulce 3 Nocturno ;0:05:05
41;4;Algo Flota en la Laguna;0:05:11
42;4;Serpiente;0:08:59
43;5;Panadero Ensoñado ;0:00:38
44;5;Iniciado del Alba;0:03:13
45;5;Poseído del Alba;0:03:42
46;5;Como el Viento Voy a Ver;0:05:12
47;5;Viajero Naciendo;0:02:55
48;5;Hola,Dulce Viento;0:02:43
49;5;Nena Boba ;0:03:07
50;5;Rock de la Selva Madre;0:07:43
51;5;Amame Peteribí;0:07:43
52;5;"16"" de Peteribí";0:00:16
53;5;Señorita Zapada;0:01:36
54;5;Credulidad;0:03:05
55;5;Hola, Pequeño Ser;0:09:40
56;5;Mi Espíritu Se Fue;0:04:28
57;5;Sombra de la Noche Negra;0:05:58
58;5;La Cereza del Zar;0:01:47
59;5;Corto;0:01:42
60;5;Aguas Claras de Olimpos;0:08:46
61;6;Todas la Hojas son del Viento;0:02:11
62;6;Cemeterio Club;0:04:56
63;6;Por;0:01:40
64;6;Superchería;0:04:16
65;6;La Sed Verdadera;0:03:30
66;6;Cantata de Puentes Amarillos;0:09:08
67;6;Bajan;0:03:25
68;6;A Starosta, el Idiota;0:03:14
69;6;Las Habladurias del mundo;0:04:04
70;7;Amenábar;0:05:28
71;7;Alma de Diamante;0:04:18
72;7;Dale Gracias;0:05:18
73;7;Con la Sombra de Tu Aliado;0:04:25
74;7;La Diosa Salvaje;0:06:19
75;7;Digital Ayatollah;0:04:59
76;7;Sombra en los Álamos;0:08:09
77;8;Canción De Bajo Belgrano;0:03:32
78;8;Vas A Iluminar La Casa;0:03:06
79;8;Maribel Se Durmió;0:02:35
80;8;Vida Siempre;0:05:53
81;8;Ping Pong;0:04:44
82;8;Mapa De Tu Amor;0:04:40
83;8;Resumen Porteño;0:03:57
84;8;Era De Uranio;0:04:17
85;8;Cola De Mono;0:03:17
86;8;Viaje y Epílogo;0:03:58
87;9;Camafeo;0:03:51
88;9;Entonces Es Como Dar Amor;0:05:13
89;9;Amarilla Flor;0:03:06
90;9;Este Es El Hombre De Hielo;0:04:02
91;9;¿No Ves Que Ya No Somos Chiquitos?;0:02:13
92;9;Ludmila;0:03:49
93;9;Enero Del Ultimo Día;0:03:38
94;9;Mula Alma;0:03:42
95;9;Díganle ;0:06:36
96;10;Moviola ;0:03:30
97;10;La Herida De París;0:04:14
98;10;El Hombre Dirigente;0:04:29
99;10;Sexo;0:05:45
100;10;Siguiendo Los Pasos Del Maestro;0:02:45
101;10;Contra Todos Los Males De Este Mundo;0:03:04
102;10;Un Viento Celeste;0:06:46
103;10;No Te Busques Ya En El Umbral;0:02:29
104;10;Influjo Estelar;0:03:18
105;10;Nunca Me Oíste En Tiempo;0:04:46
106;11;Jugo de Lucuma ;0:04:26
107;11;El Diluvio y la Pasajera;0:08:42
108;11;Suspensión;0:05:38
109;11;Tema de Elmo Lesto;0:02:23
110;11;Azafata del Tren Fantasma;0:08:16
111;11;Irregular;0:07:35
112;12;Encadenado al Ánima;0:15:33
113;12;Durazno Sangrando;0:03:40
114;12;Pleamar de Águilas;0:04:21
115;12;En una Lejana Playa del Animus;0:09:55
116;12;Dios de Adolescencia;0:02:46
117;13;El Anillo del Capitán Beto;0:05:07
118;13;Los Libros de la Buena Memoria;0:05:09
119;13;Alarma Entre los Ángeles;0:06:32
120;13;Que Ves el Cielo;0:02:05
121;13;Ruido de Magia;0:04:36
122;13;Doscientos Años;0:04:09
123;13;Perdonado;0:07:05
124;13;Las Golondrinas de Plaza de Mayo;0:03:23
125;14;Estás Acá;0:03:20
126;14;Piluso y Coquito;0:04:26
127;14;Come el Viento voy a Ver;0:06:13
128;14;Me Gusta Ese Tajo;0:04:38
129;14;San Cristóforo;0:05:39
130;14;El Rebaño del Pastor;0:06:57
131;14;Bosnia;0:07
132;14;Ana no duerme ;0:05:23
133;14;Sucia Esrella;0:05:18
134;14;Rutas Argentinas;0:04:24
135;14;Viento del Lugar;0:07:56
136;14;Tu Corazón por Mí;0:03:58
137;15;Ven Vení;0:05:07
138;15;Ave Seca;0:04:42
139;15;Donde No Se Lee;0:04:12
140;15;Extiéndete Una Vez Más;0:06:35
141;15;No Me Alcanza;0:04:27
142;15;Ekathé I;0:01:49
143;15;Nómbrala;0:05:33
144;15;Bahía Final;0:05:52
145;15;Perdido En Ti;0:06:35
146;15;Bagatelle;0:05:11
